contest_type,question_no,q_rating,accuracy,avg_solving_time
2.0,1.0,800.0,0.9197311190193752,890.6951848667239
2.0,2.0,900.0,0.9313089005235602,920.6291882167753
2.0,3.0,1800.0,0.22439191503939707,3009.7618320610686
2.0,4.0,2200.0,0.15947467166979362,4100.9
2.0,5.0,2700.0,0.0,0.0
4.0,1.0,3100.0,1.0,868524.8932038835
2.0,1.0,1200.0,0.8587881822734101,1607.5419825072886
2.0,2.0,1000.0,0.9654576856649395,1197.2918476871964
2.0,3.0,1500.0,0.6033057851239669,1756.9885844748858
2.0,4.0,1700.0,0.9132260321903429,1979.5563218390805
2.0,5.0,2600.0,0.21019108280254778,3272.030303030303
2.0,6.0,2400.0,0.39591836734693875,2907.092783505155
2.0,7.0,2900.0,0.14285714285714285,3400.0
2.0,1.0,1100.0,0.7324324324324324,1187.9824723247232
2.0,2.0,1200.0,0.8792,1749.3161965423112
2.0,3.0,1700.0,0.5531520395550061,2562.6592178770948
2.0,4.0,1800.0,0.7090909090909091,2180.4330484330485
2.0,5.0,2300.0,0.7815126050420168,2228.989247311828
2.0,6.0,2400.0,0.4782608695652174,2286.909090909091
2.0,1.0,800.0,0.9600895947872123,763.0477200424178
2.0,2.0,1000.0,0.9138602520045819,979.8831787415393
2.0,3.0,1600.0,0.6760610079575596,2166.9024031387935
2.0,4.0,1700.0,0.8051807879114948,2218.857908847185
2.0,5.0,1900.0,0.7575757575757576,2106.69
2.0,6.0,2500.0,0.22926829268292684,2437.6382978723404
2.0,1.0,1000.0,0.8767301038062284,1185.246916625555
2.0,2.0,1600.0,0.6766721044045677,2358.916104146577
2.0,3.0,1900.0,0.8011599005799502,2085.4374353671146
2.0,4.0,1600.0,0.7204382319607102,2167.2385946512845
2.0,5.0,2400.0,0.43609022556390975,2565.103448275862
2.0,6.0,2400.0,0.4146341463414634,2420.5098039215686
2.0,7.0,2700.0,0.20408163265306123,2338.1
2.0,1.0,800.0,0.9592166363819907,869.6693327720479
2.0,2.0,1100.0,0.9030129755883,1400.6544081831466
2.0,3.0,1300.0,0.8545891141942369,1656.168904152357
2.0,4.0,1800.0,0.5618556701030928,2498.232693911593
2.0,5.0,2400.0,0.32269503546099293,3239.956043956044
2.0,6.0,2900.0,0.2857142857142857,2603.75
1.0,1.0,2300.0,0.6,2708.1264367816093
1.0,2.0,2100.0,0.6793650793650794,2554.2943925233644
1.0,3.0,2200.0,0.7773109243697479,2785.2648648648646
1.0,4.0,2800.0,0.7317073170731707,2164.9666666666667
1.0,5.0,3400.0,0.0,0.0
2.0,1.0,1000.0,0.8003250522405386,1719.9213809109372
2.0,2.0,1300.0,0.7528597230583985,2598.001599360256
2.0,3.0,2300.0,0.1323529411764706,3372.296296296296
2.0,4.0,2100.0,0.2926315789473684,3285.5251798561153
2.0,5.0,2200.0,0.5818181818181818,3558.09375
1.0,1.0,1300.0,0.7538461538461538,1084.142290249433
1.0,2.0,1300.0,0.7936507936507936,1329.2907246376813
1.0,3.0,1300.0,0.9023019271948608,1195.3544942153665
1.0,4.0,1700.0,0.5757162346521146,1979.2020142180095
1.0,5.0,2200.0,0.7940074906367042,2380.8490566037735
1.0,6.0,2500.0,0.5655430711610487,2592.9403973509934
1.0,7.0,3200.0,0.2777777777777778,2613.8
1.0,8.0,3200.0,0.6363636363636364,2796.0
1.0,1.0,800.0,0.9103529411764706,1003.8986818299302
1.0,2.0,1200.0,0.8592892227679861,1464.965030262273
1.0,3.0,1600.0,0.5124899274778405,2107.744496855346
1.0,4.0,2100.0,0.5399325084364455,3361.264583333333
1.0,5.0,2400.0,0.5764331210191083,2776.403314917127
1.0,6.0,2900.0,0.5806451612903226,2423.5555555555557
1.0,7.0,3000.0,0.2911392405063291,3485.6521739130435
1.0,8.0,2900.0,0.7058823529411765,2961.5
